상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220808157825,필바든치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,28,인천광역시,28260,서구,28260700,원당동,2826011400,당하동,2826011400110280005,1,대지,1028,5,인천광역시 서구 당하동 1028-5,282602156002,인천광역시 서구 원당대로,848,,2826011400100220006030147,유일프라자,인천광역시 서구 원당대로 848,404320,22682,,1,,126.695579449962,37.5933732737807
MA010120220808168535,꿀잔치닭강정,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,46,전라남도,46110,목포시,46110810,부주동,4611016400,옥암동,4611016400113450004,1,대지,1345,4,전라남도 목포시 옥암동 1345-4,461104643025,전라남도 목포시 남악2로9번길,18,13,4611016400113450004000001,,전라남도 목포시 남악2로9번길 18-13,530852,58680,,,,126.451313550441,34.8072891976382
MA010120220808168785,교촌치킨,풍무점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,41,경기도,41570,김포시,41570550,풍무동,4157010700,풍무동,4157010700109890000,1,대지,989,,경기도 김포시 풍무동 989,415704427566,경기도 김포시 풍무로146번길,52,5,4157010700101910002051971,일부호,경기도 김포시 풍무로146번길 52-5,415070,10113,,1,,126.726520801534,37.6069818630741
MA010120220808174852,흥스타,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,41,경기도,41590,화성시,41590520,진안동,4159011600,진안동,4159011600108830006,1,대지,883,6,경기도 화성시 진안동 883-6,415903210050,경기도 화성시 병점동로,92,8,4159011600008830006023212,,경기도 화성시 병점동로 92-8,445390,18404,,,,127.041233202695,37.2124466164654
MA010120220808094744,배달치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,44,충청남도,44150,공주시,44150360,의당면,4415036026,의당면,4415036026104800008,1,대지,480,8,충청남도 공주시 의당면 청룡리 480-8,441503251034,충청남도 공주시 의당면 의당로,340,,4415036026104800008022180,,충청남도 공주시 의당면 의당로 340,314813,32517,,1,,127.139713410613,36.5005086949558
MA010120220808099661,60계치킨서충주기업도시점,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,43,충청북도,43130,충주시,43130385,중앙탑면,4313038526,중앙탑면,4313038526106740000,1,대지,674,,충청북도 충주시 중앙탑면 용전리 674,431304515555,충청북도 충주시 중앙탑면 원앙길,8,5,4313038526106740000000001,,충청북도 충주시 중앙탑면 원앙길 8-5,380922,27465,,1,,127.824709742134,37.0171567934438
MA010120220808105672,이서방치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11470,양천구,11470590,신월4동,1147010300,신월동,1147010300105370006,1,대지,537,6,서울특별시 양천구 신월동 537-6,114704142242,서울특별시 양천구 신월로15길,2,,1147010300105370006011150,,서울특별시 양천구 신월로15길 2,158840,08030,,1,,126.842177596269,37.5189136540748
MA010120220808105737,치킨퐁구곡천매점,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,51,강원특별자치도,51130,원주시,51130550,단구동,5113010700,단구동,5113010700115540001,1,대지,1554,1,강원특별자치도 원주시 단구동 1554-1,511304457578,강원특별자치도 원주시 천매봉길,32,22,4213010700115540001000001,,강원특별자치도 원주시 천매봉길 32-22,220944,26483,,1,,127.943871470132,37.323788047169
MA010120220808105763,청천바삭한치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,28,인천광역시,28237,부평구,28237592,청천2동,2823710400,청천동,2823710400101740001,1,대지,174,1,인천광역시 부평구 청천동 174-1,282373154054,인천광역시 부평구 청중로,68,,2823710400101740001001717,정일,인천광역시 부평구 청중로 68,403853,21312,,1,,126.704677852244,37.517289379454
MA010120220808105862,60계전주,중화산점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,52,전북특별자치도,52111,전주시 완산구,52111672,중화산2동,5211112800,중화산동2가,5211112800106150010,1,대지,615,10,전북특별자치도 전주시 완산구 중화산동2가 615-10,521113266070,전북특별자치도 전주시 완산구 중산중앙로,27,,4511112800106150010000001,,전북특별자치도 전주시 완산구 중산중앙로 27,560838,54976,,1,,127.121199113359,35.8166553258415
